name,type,category,purpose,access,status,notes
gh-pm,skill,git,GitHub Issues + Projects (V2) via gh CLI,.claude/skills/gh-pm,active,Project management
team-update,skill,docs,Outcome-style Slack/Teams update from git context,.claude/skills/team-update,active,Communication
screen-input,skill,docs,Raw notes -> structured bullets,.claude/skills/screen-input,active,Intake
excalidraw,skill,docs,Architecture diagrams as .excalidraw + PNG/SVG,.claude/skills/excalidraw,active,Diagrams
html-presentation,skill,docs,HTML slide deck from Markdown (reveal.js),.claude/skills/html-presentation,active,Presentations
git-workflow,rule,git,Branch model (main + feature/*),.claude/rules/git-workflow.md,active,Mandatory
conventional-commits,rule,git,Commit format,.claude/rules/conventional-commits.md,active,Mandatory
secrets-guardrails,rule,security,Never commit secrets; keep .env.example current,.claude/rules/secrets-guardrails.md,active,Mandatory
mcp-policy,rule,mcp,No custom MCP servers; use existing ones via claude mcp add,.claude/rules/mcp-policy.md,active,Mandatory
skill-ecosystem,rule,meta,Native Claude Code extensions only,.claude/rules/skill-ecosystem.md,active,Mandatory
skill-quality,rule,meta,New skills via skill-creator; DRY,.claude/rules/skill-quality.md,active,Mandatory
worktree-policy,rule,workflow,Worktrees only for parallel file-overlapping agents,.claude/rules/worktree-policy.md,active,Mandatory
code-language,rule,code,Language convention (code vs docs),.claude/rules/code-language.md,active,Mandatory
writing-style,rule,docs,Baseline style (buzzword blacklist/active voice),.claude/rules/writing-style.md,active,Mandatory
anti-bias,rule,docs,Steelmanning/no over-engineering,.claude/rules/anti-bias.md,active,Mandatory
no-placeholders,rule,docs,No draft markers in a release,.claude/rules/no-placeholders.md,active,Mandatory
release-quality,rule,docs,Standalone artifacts without working-doc character,.claude/rules/release-quality.md,active,Mandatory
persona-quality,rule,docs,Persona agents per CO-STAR + TIDD-EC,.claude/rules/persona-quality.md,active,Mandatory
graphify-usage,rule,tool,Use the codebase knowledge graph,.claude/rules/graphify-usage.md,active,Optional (pipx install graphify)
Claude Code,tool,local,Agentic coding host,CLI/IDE,active,Prerequisite
Git,tool,local,Version control + feature-branch flow,CLI,active,Enable core.hooksPath=.githooks
GitHub CLI,tool,local,Issues/PRs/Projects/Releases,gh CLI,active,For gh-pm/github-project
Python3,tool,local,Script/notebook execution,CLI (.venv),active,Optional (python/notebook skills)
Graphify,tool,local,Codebase knowledge graph,pipx,active,Optional
Obsidian,tool,local,Markdown vault for docs/,Desktop App,active,Optional (docs/ is a vault)
